dataset,model,protocol,fold_id,protocol_tag,train_subjects,val_subjects,test_subjects,n_train,n_val,n_test,best_epoch,best_val_loss,main_metric,main_value,accuracy,balanced_accuracy,precision,recall,f1,kappa,auc
p300,eegnet_ms_se,within,3,within_sub46_fold3,[46],[46],[46],900,450,450,34,0.5635728925466538,auc,0.6428982173663026,0.6755555555555556,0.6267610695802186,0.2662337662337662,0.5540540540540541,0.3596491228070175,0.17677425821972725,0.6428982173663026
p300,eegnet_ms_se,within,0,within_sub47_fold0,[47],[47],[47],900,450,450,21,0.6224175333976746,auc,0.7871262219666475,0.7088888888888889,0.7335393904542841,0.3333333333333333,0.7702702702702703,0.46530612244897956,0.30599703326976047,0.7871262219666475
p300,eegnet_ms_se,within,1,within_sub47_fold1,[47],[47],[47],900,450,450,29,0.5831186811129252,auc,0.7418730650154799,0.7311111111111112,0.6704897269912751,0.3308270676691729,0.5789473684210527,0.42105263157894735,0.26253487553159793,0.7418730650154799
p300,eegnet_ms_se,within,2,within_sub47_fold2,[47],[47],[47],900,450,450,77,0.4097591462234656,auc,0.7384533333333333,0.7644444444444445,0.688,0.36752136752136755,0.5733333333333334,0.44791666666666674,0.30718954248366015,0.7384533333333333
p300,eegnet_ms_se,within,3,within_sub47_fold3,[47],[47],[47],900,450,450,100,0.507455990711848,auc,0.8812444444444444,0.7911111111111111,0.7626666666666666,0.4251968503937008,0.72,0.5346534653465347,0.41127348643006256,0.8812444444444444
p300,eegnet_ms_se,within,0,within_sub48_fold0,[48],[48],[48],900,450,450,14,0.6332079430421194,auc,0.7300168871376301,0.68,0.6554672108077682,0.29012345679012347,0.618421052631579,0.39495798319327735,0.21431689218681782,0.7300168871376301
p300,eegnet_ms_se,within,1,within_sub48_fold1,[48],[48],[48],900,450,450,130,0.49665288130442303,auc,0.7926969522714205,0.7733333333333333,0.7341144335825187,0.390625,0.6756756756756757,0.49504950495049505,0.36211017844238147,0.7926969522714205
p300,eegnet_ms_se,within,2,within_sub48_fold2,[48],[48],[48],900,450,450,58,0.620440399646759,auc,0.8301825761932144,0.7755555555555556,0.7354442208165612,0.3937007874015748,0.6756756756756757,0.49751243781094534,0.3657018449772518,0.8301825761932144
p300,eegnet_ms_se,within,3,within_sub48_fold3,[48],[48],[48],900,450,450,172,0.5101634121189514,auc,0.7326555023923444,0.7488888888888889,0.6811849141570504,0.352,0.5789473684210527,0.43781094527363185,0.2883135059482155,0.7326555023923444
p300,eegnet_ms_se,within,0,within_sub49_fold0,[49],[49],[49],900,450,450,59,0.5670211593310038,auc,0.8312967222541692,0.7755555555555556,0.7680060379528465,0.4028776978417266,0.7567567567567568,0.5258215962441315,0.39623794468503415,0.8312967222541692
p300,eegnet_ms_se,within,1,within_sub49_fold1,[49],[49],[49],900,450,450,30,0.4903889735539754,auc,0.8253236701379116,0.7666666666666667,0.7547846889952152,0.3971631205673759,0.7368421052631579,0.5161290322580646,0.38006770054317873,0.8253236701379116
p300,eegnet_ms_se,within,2,within_sub49_fold2,[49],[49],[49],900,450,450,48,0.5304180125395457,auc,0.8232101782633697,0.7933333333333333,0.7515094882116158,0.4214876033057851,0.6891891891891891,0.523076923076923,0.40079035537355745,0.8232101782633697
p300,eegnet_ms_se,within,3,within_sub49_fold3,[49],[49],[49],900,450,450,65,0.5086061199506123,auc,0.7681888544891641,0.7311111111111112,0.6862158739093724,0.3381294964028777,0.618421052631579,0.4372093023255814,0.2799714368834466,0.7681888544891641
